Cnic,Full Name,Status,Disabled,Province,City,Block Code,Serial Number
,Kashif Chaudhry,Active,Yes,Balochistan,Quetta,1,49
,Rabia Baig,Active,Yes,Balochistan,Quetta,1,50
,Muhammad Khattak,Active,Yes,Balochistan,Quetta,1,51
,Arsalan Siddiqui,Active,Yes,Balochistan,Quetta,1,52
,Usman Raza,Active,Yes,Balochistan,Quetta,1,53
,Iqra Memon,Active,Yes,Balochistan,Quetta,1,54
,Kashif Bugti,Active,Yes,Balochistan,Quetta,1,55
,Fatima Mahar,Active,Yes,Balochistan,Quetta,1,56
,Maryam Memon,Active,Yes,Balochistan,Quetta,1,57
,Sana Mengal,Active,Yes,Balochistan,Quetta,1,58
,Samina Memon,Active,Yes,Balochistan,Quetta,1,59
,Waqas Sheikh,Active,Yes,Balochistan,Quetta,1,60
,Rashid Ansari,Active,Yes,Balochistan,Quetta,1,61
,Tariq Raza,Active,Yes,Balochistan,Quetta,1,62
,Zeeshan Laghari,Active,Yes,Balochistan,Quetta,1,63
,Tariq Baig,Active,Yes,Balochistan,Quetta,1,64
,Usman Bhatti,Active,Yes,Balochistan,Quetta,1,65
,Zubair Mirza,Active,Yes,Balochistan,Quetta,1,66
,Babar Siddiqui,Active,Yes,Balochistan,Quetta,1,67
,Iqra Bugti,Active,Yes,Balochistan,Quetta,1,68
,Shahid Siddiqui,Active,Yes,Balochistan,Quetta,1,69
,Fatima Mirza,Active,Yes,Balochistan,Quetta,1,70
,Fatima Chaudhry,Active,Yes,Balochistan,Quetta,1,71
,Sidra Qureshi,Active,Yes,Balochistan,Quetta,1,72
,Arsalan Qureshi,Active,Yes,Balochistan,Quetta,1,73
,Shahid Khattak,Active,Yes,Balochistan,Quetta,1,74
,Farhan Gul,Active,Yes,Balochistan,Quetta,1,75
,Saad Mengal,Active,Yes,Balochistan,Quetta,1,76
,Ahmed Siddiqui,Active,Yes,Balochistan,Quetta,1,77
,Tariq Bugti,Active,Yes,Balochistan,Quetta,1,78
,Zubair Jan,Active,Yes,Balochistan,Quetta,1,79
,Faisal Khan,Active,Yes,Balochistan,Quetta,1,80
,Muhammad Sheikh,Active,Yes,Balochistan,Quetta,1,81
,Bilal Butt,Active,Yes,Balochistan,Quetta,1,82
,Sana Chaudhry,Active,Yes,Balochistan,Quetta,1,83
,Waqas Butt,Active,Yes,Balochistan,Quetta,1,84
,Saad Mirza,Active,Yes,Balochistan,Quetta,1,85
,Waqas Butt,Active,Yes,Balochistan,Quetta,1,86
,Iqra Khan,Active,Yes,Balochistan,Quetta,1,87
,Adnan Ansari,Active,Yes,Balochistan,Quetta,1,88
,Fatima Memon,Active,Yes,Balochistan,Quetta,1,89
,Naveed Shah,Active,Yes,Balochistan,Quetta,1,90
,Usman Raza,Active,Yes,Balochistan,Quetta,1,91
,Faisal Chaudhry,Active,Yes,Balochistan,Quetta,1,92
,Hira Memon,Active,Yes,Balochistan,Quetta,1,93
,Fatima Rind,Active,Yes,Balochistan,Quetta,1,94
,Arsalan Abbasi,Active,Yes,Balochistan,Quetta,1,95
,Rashid Ansari,Active,Yes,Balochistan,Quetta,1,96
,Naveed Rind,Active,Yes,Balochistan,Quetta,1,97
,Hira Tareen,Active,Yes,Balochistan,Quetta,1,98
,Ali Chaudhry,Active,Yes,Balochistan,Quetta,1,99
,Asim Bhatti,Active,Yes,Balochistan,Quetta,1,100
,Asim Bhatti,Active,Yes,Balochistan,Quetta,2,101
,Iqra Rind,Active,Yes,Balochistan,Quetta,2,102
,Rashid Mengal,Active,Yes,Balochistan,Quetta,2,103
,Zeeshan Khan,Active,Yes,Balochistan,Quetta,2,104
,Zainab Chaudhry,Active,Yes,Balochistan,Quetta,2,105
,Ali Tareen,Active,Yes,Balochistan,Quetta,2,106
,Bilal Tareen,Active,Yes,Balochistan,Quetta,2,107
,Ahmed Ahmed,Active,Yes,Balochistan,Quetta,2,108
,Kamran Mengal,Active,Yes,Balochistan,Quetta,2,109
,Kamran Rind,Active,Yes,Balochistan,Quetta,2,110
,Rabia Siddiqui,Active,Yes,Balochistan,Quetta,2,111
,Hira Tareen,Active,Yes,Balochistan,Quetta,2,112
,Bilal Shah,Active,Yes,Balochistan,Quetta,2,113
,Imran Laghari,Active,Yes,Balochistan,Quetta,2,114
,Babar Jan,Active,Yes,Balochistan,Quetta,2,115
,Asim Raza,Active,Yes,Balochistan,Quetta,2,116
,Ahmed Khan,Active,Yes,Balochistan,Quetta,2,117
,Yasir Laghari,Active,Yes,Balochistan,Quetta,2,118
,Imran Memon,Active,Yes,Balochistan,Quetta,2,119
,Bilal Tareen,Active,Yes,Balochistan,Quetta,2,120
,Kashif Jan,Active,Yes,Balochistan,Quetta,2,121
,Ali Ahmed,Active,Yes,Balochistan,Quetta,2,122
,Yasir Baig,Active,Yes,Balochistan,Quetta,2,123
,Imran Chaudhry,Active,Yes,Balochistan,Quetta,2,124
,Farhan Laghari,Active,Yes,Balochistan,Quetta,2,125
,Sana Jan,Active,Yes,Balochistan,Quetta,2,126
,Kashif Rind,Active,Yes,Balochistan,Quetta,2,127
,Ayesha Ahmed,Active,Yes,Balochistan,Quetta,2,128
,Imran Sheikh,Active,Yes,Balochistan,Quetta,2,129
,Fatima Khattak,Active,Yes,Balochistan,Quetta,2,130
,Kashif Butt,Active,Yes,Balochistan,Quetta,2,131
,Muhammad Chaudhry,Active,Yes,Balochistan,Quetta,2,132
,Imran Shah,Active,Yes,Balochistan,Quetta,2,133
,Kamran Mahar,Active,Yes,Balochistan,Quetta,2,134
,Tariq Shah,Active,Yes,Balochistan,Quetta,2,135
,Yasir Ansari,Active,Yes,Balochistan,Quetta,2,136
,Ali Malik,Active,Yes,Balochistan,Quetta,2,137
,Waqas Mengal,Active,Yes,Balochistan,Quetta,2,138
,Junaid Gul,Active,Yes,Balochistan,Quetta,2,139
,Tariq Chaudhry,Active,Yes,Balochistan,Quetta,2,140
,Rashid Khan,Active,Yes,Balochistan,Quetta,2,141
,Babar Tareen,Active,Yes,Balochistan,Quetta,2,142
,Sidra Mirza,Active,Yes,Balochistan,Quetta,2,143
,Hamza Siddiqui,Active,Yes,Balochistan,Quetta,2,144
,Farhan Khan,Active,Yes,Balochistan,Quetta,2,145
,Rashid Raza,Active,Yes,Balochistan,Quetta,2,146
,Rabia Bugti,Active,Yes,Balochistan,Quetta,2,147
,Zubair Sheikh,Active,Yes,Balochistan,Quetta,2,148
,Hira Memon,Active,Yes,Balochistan,Quetta,2,149
,Babar Mirza,Active,Yes,Balochistan,Quetta,2,150
,Iqra Bugti,Active,Yes,Balochistan,Quetta,2,151
,Maryam Khan,Active,Yes,Balochistan,Quetta,2,152
,Babar Qureshi,Active,Yes,Balochistan,Quetta,2,153
,Babar Butt,Active,Yes,Balochistan,Quetta,2,154
,Ahmed Ansari,Active,Yes,Balochistan,Quetta,2,155
,Saad Butt,Active,Yes,Balochistan,Quetta,2,156
,Tariq Shah,Active,Yes,Balochistan,Quetta,2,157
,Shahid Rind,Active,Yes,Balochistan,Quetta,2,158
,Kamran Gul,Active,Yes,Balochistan,Quetta,2,159
,Babar Gul,Active,Yes,Balochistan,Quetta,2,160
,Arsalan Laghari,Active,Yes,Balochistan,Quetta,2,161
,Iqra Baig,Active,Yes,Balochistan,Quetta,2,162
,Babar Khattak,Active,Yes,Balochistan,Quetta,2,163
,Rabia Sheikh,Active,Yes,Balochistan,Quetta,2,164
,Saad Chaudhry,Active,Yes,Balochistan,Quetta,2,165
,Faisal Ansari,Active,Yes,Balochistan,Quetta,2,166
,Rabia Mengal,Active,Yes,Balochistan,Quetta,2,167
,Adnan Siddiqui,Active,Yes,Balochistan,Quetta,2,168
,Ali Mahar,Active,Yes,Balochistan,Quetta,2,169
,Shahid Laghari,Active,Yes,Balochistan,Quetta,2,170
,Ali Ansari,Active,Yes,Balochistan,Quetta,2,171
,Farhan Bhatti,Active,Yes,Balochistan,Quetta,2,172
,Ayesha Bugti,Active,Yes,Balochistan,Quetta,2,173
,Arsalan Sheikh,Active,Yes,Balochistan,Quetta,2,174
,Saad Siddiqui,Active,Yes,Balochistan,Quetta,2,175
,Zubair Sheikh,Active,Yes,Balochistan,Quetta,2,176
,Kamran Shah,Active,Yes,Balochistan,Quetta,2,177
,Naveed Shah,Active,Yes,Balochistan,Quetta,2,178
,Imran Mahar,Active,Yes,Balochistan,Quetta,2,179
,Bilal Mengal,Active,Yes,Balochistan,Quetta,2,180
,Tariq Ansari,Active,Yes,Balochistan,Quetta,2,181
,Ali Khattak,Active,Yes,Balochistan,Quetta,2,182
,Adnan Raza,Active,Yes,Balochistan,Quetta,2,183
,Faisal Raza,Active,Yes,Balochistan,Quetta,2,184
,Kamran Laghari,Active,Yes,Balochistan,Quetta,2,185
,Waqas Mahar,Active,Yes,Balochistan,Quetta,2,186
,Kashif Malik,Active,Yes,Balochistan,Quetta,2,187
,Asim Rind,Active,Yes,Balochistan,Quetta,2,188
,Junaid Laghari,Active,Yes,Balochistan,Quetta,2,189
,Bilal Baig,Active,Yes,Balochistan,Quetta,2,190
,Adnan Baig,Active,Yes,Balochistan,Quetta,2,191
,Zainab Jan,Active,Yes,Balochistan,Quetta,2,192
,Iqra Abbasi,Active,Yes,Balochistan,Quetta,2,193
,Imran Malik,Active,Yes,Balochistan,Quetta,2,194
,Muhammad Bugti,Active,Yes,Balochistan,Quetta,2,195
,Muhammad Shah,Active,Yes,Balochistan,Quetta,2,196
,Imran Mengal,Active,Yes,Balochistan,Quetta,2,197
,Sana Baig,Active,Yes,Balochistan,Quetta,2,198
,Usman Raza,Active,Yes,Balochistan,Quetta,2,199
,Usman Ansari,Active,Yes,Balochistan,Quetta,2,200
,Sidra Malik,Active,Yes,Balochistan,Quetta,3,201
,Faisal Laghari,Active,Yes,Balochistan,Quetta,3,202
,Arsalan Butt,Active,Yes,Balochistan,Quetta,3,203
,Samina Shah,Active,Yes,Balochistan,Quetta,3,204
,Hamza Bhatti,Active,Yes,Balochistan,Quetta,3,205
,Tariq Mahar,Active,Yes,Balochistan,Quetta,3,206
,Ahmed Bugti,Active,Yes,Balochistan,Quetta,3,207
,Babar Khattak,Active,Yes,Balochistan,Quetta,3,208
,Zeeshan Chaudhry,Active,Yes,Balochistan,Quetta,3,209
,Zainab Tareen,Active,Yes,Balochistan,Quetta,3,210
,Hira Laghari,Active,Yes,Balochistan,Quetta,3,211
,Maryam Gul,Active,Yes,Balochistan,Quetta,3,212
,Faisal Ahmed,Active,Yes,Balochistan,Quetta,3,213
,Muhammad Malik,Active,Yes,Balochistan,Quetta,3,214
,Ali Khan,Active,Yes,Balochistan,Quetta,3,215
,Samina Baig,Active,Yes,Balochistan,Quetta,3,216
,Ayesha Ahmed,Active,Yes,Balochistan,Quetta,3,217
,Farhan Khan,Active,Yes,Balochistan,Quetta,3,218
,Naveed Baig,Active,Yes,Balochistan,Quetta,3,219
,Naveed Shah,Active,Yes,Balochistan,Quetta,3,220
,Farhan Laghari,Active,Yes,Balochistan,Quetta,3,221
,Kashif Butt,Active,Yes,Balochistan,Quetta,3,222
,Zeeshan Mengal,Active,Yes,Balochistan,Quetta,3,223
,Samina Khan,Active,Yes,Balochistan,Quetta,3,224
,Iqra Chaudhry,Active,Yes,Balochistan,Quetta,3,225
,Ayesha Raza,Active,Yes,Balochistan,Quetta,3,226
,Zubair Jan,Active,Yes,Balochistan,Quetta,3,227
,Kamran Chaudhry,Active,Yes,Balochistan,Quetta,3,228
,Fatima Malik,Active,Yes,Balochistan,Quetta,3,229
,Sana Khan,Active,Yes,Balochistan,Quetta,3,230
,Imran Bhatti,Active,Yes,Balochistan,Quetta,3,231
,Imran Rind,Active,Yes,Balochistan,Quetta,3,232
,Kamran Butt,Active,Yes,Balochistan,Quetta,3,233
,Zainab Butt,Active,Yes,Balochistan,Quetta,3,234
,Adnan Sheikh,Active,Yes,Balochistan,Quetta,3,235
,Muhammad Rind,Active,Yes,Balochistan,Quetta,3,236
,Zainab Ahmed,Active,Yes,Balochistan,Quetta,3,237
,Arsalan Khattak,Active,Yes,Balochistan,Quetta,3,238
,Kashif Ahmed,Active,Yes,Balochistan,Quetta,3,239
,Shahid Mengal,Active,Yes,Balochistan,Quetta,3,240
,Ayesha Ansari,Active,Yes,Balochistan,Quetta,3,241
,Samina Khan,Active,Yes,Balochistan,Quetta,3,242
,Fatima Memon,Active,Yes,Balochistan,Quetta,3,243
,Fatima Malik,Active,Yes,Balochistan,Quetta,3,244
,Iqra Qureshi,Active,Yes,Balochistan,Quetta,3,245
,Kashif Gul,Active,Yes,Balochistan,Quetta,3,246
,Bilal Ansari,Active,Yes,Balochistan,Quetta,3,247
,Ali Malik,Active,Yes,Balochistan,Quetta,3,248
,Junaid Laghari,Active,Yes,Balochistan,Quetta,3,249
,Saad Gul,Active,Yes,Balochistan,Quetta,3,250
,Sana Mahar,Active,Yes,Balochistan,Quetta,3,251
,Naveed Laghari,Active,Yes,Balochistan,Quetta,3,252
,Hira Bugti,Active,Yes,Balochistan,Quetta,3,253
,Sana Malik,Active,Yes,Balochistan,Quetta,3,254
,Rabia Ahmed,Active,Yes,Balochistan,Quetta,3,255
,Yasir Rind,Active,Yes,Balochistan,Quetta,3,256
,Usman Butt,Active,Yes,Balochistan,Quetta,3,257
,Adnan Bhatti,Active,Yes,Balochistan,Quetta,3,258
,Farhan Jan,Active,Yes,Balochistan,Quetta,3,259
,Farhan Chaudhry,Active,Yes,Balochistan,Quetta,3,260
,Muhammad Gul,Active,Yes,Balochistan,Quetta,3,261
,Rashid Shah,Active,Yes,Balochistan,Quetta,3,262
,Asim Mengal,Active,Yes,Balochistan,Quetta,3,263
,Faisal Sheikh,Active,Yes,Balochistan,Quetta,3,264
,Maryam Sheikh,Active,Yes,Balochistan,Quetta,3,265
,Imran Khattak,Active,Yes,Balochistan,Quetta,3,266
,Faisal Memon,Active,Yes,Balochistan,Quetta,3,267
,Naveed Bhatti,Active,Yes,Balochistan,Quetta,3,268
,Zainab Gul,Active,Yes,Balochistan,Quetta,3,269
,Muhammad Shah,Active,Yes,Balochistan,Quetta,3,270
,Shahid Khan,Active,Yes,Balochistan,Quetta,3,271
,Faisal Malik,Active,Yes,Balochistan,Quetta,3,272
,Naveed Butt,Active,Yes,Balochistan,Quetta,3,273
,Adnan Malik,Active,Yes,Balochistan,Quetta,3,274
,Maryam Abbasi,Active,Yes,Balochistan,Quetta,3,275
,Rabia Tareen,Active,Yes,Balochistan,Quetta,3,276
,Babar Raza,Active,Yes,Balochistan,Quetta,3,277
,Yasir Ansari,Active,Yes,Balochistan,Quetta,3,278
,Zainab Qureshi,Active,Yes,Balochistan,Quetta,3,279
,Babar Bugti,Active,Yes,Balochistan,Quetta,3,280
,Arsalan Memon,Active,Yes,Balochistan,Quetta,3,281
,Ali Malik,Active,Yes,Balochistan,Quetta,3,282
,Rabia Shah,Active,Yes,Balochistan,Quetta,3,283
,Bilal Khan,Active,Yes,Balochistan,Quetta,3,284
,Bilal Ahmed,Active,Yes,Balochistan,Quetta,3,285
,Zubair Raza,Active,Yes,Balochistan,Quetta,3,286
,Usman Gul,Active,Yes,Balochistan,Quetta,3,287
,Rabia Siddiqui,Active,Yes,Balochistan,Quetta,3,288
,Rabia Bhatti,Active,Yes,Balochistan,Quetta,3,289
,Iqra Memon,Active,Yes,Balochistan,Quetta,3,290
,Rabia Memon,Active,Yes,Balochistan,Quetta,3,291
,Ayesha Qureshi,Active,Yes,Balochistan,Quetta,3,292
,Naveed Mengal,Active,Yes,Balochistan,Quetta,3,293
,Naveed Bhatti,Active,Yes,Balochistan,Quetta,3,294
,Muhammad Bhatti,Active,Yes,Balochistan,Quetta,3,295
,Usman Abbasi,Active,Yes,Balochistan,Quetta,3,296
,Rashid Qureshi,Active,Yes,Balochistan,Quetta,3,297
,Bilal Mahar,Active,Yes,Balochistan,Quetta,3,298
,Shahid Mengal,Active,Yes,Balochistan,Quetta,3,299
,Zainab Memon,Active,Yes,Balochistan,Quetta,3,300
,Sana Memon,Active,Yes,Balochistan,Quetta,4,301
,Adnan Qureshi,Active,Yes,Balochistan,Quetta,4,302
,Muhammad Malik,Active,Yes,Balochistan,Quetta,4,303
,Zainab Butt,Active,Yes,Balochistan,Quetta,4,304
,Rabia Shah,Active,Yes,Balochistan,Quetta,4,305
,Arsalan Qureshi,Active,Yes,Balochistan,Quetta,4,306
,Zainab Malik,Active,Yes,Balochistan,Quetta,4,307
,Kashif Shah,Active,Yes,Balochistan,Quetta,4,308
,Faisal Sheikh,Active,Yes,Balochistan,Quetta,4,309
,Samina Raza,Active,Yes,Balochistan,Quetta,4,310
,Maryam Raza,Active,Yes,Balochistan,Quetta,4,311
,Zainab Malik,Active,Yes,Balochistan,Quetta,4,312
,Ayesha Baig,Active,Yes,Balochistan,Quetta,4,313
,Hamza Chaudhry,Active,Yes,Balochistan,Quetta,4,314
,Muhammad Mahar,Active,Yes,Balochistan,Quetta,4,315
,Hira Shah,Active,Yes,Balochistan,Quetta,4,316
,Sidra Mirza,Active,Yes,Balochistan,Quetta,4,317
,Yasir Khattak,Active,Yes,Balochistan,Quetta,4,318
,Faisal Butt,Active,Yes,Balochistan,Quetta,4,319
,Kamran Khattak,Active,Yes,Balochistan,Quetta,4,320
,Fatima Ahmed,Active,Yes,Balochistan,Quetta,4,321
,Zeeshan Qureshi,Active,Yes,Balochistan,Quetta,4,322
,Ali Bugti,Active,Yes,Balochistan,Quetta,4,323
,Samina Chaudhry,Active,Yes,Balochistan,Quetta,4,324
,Kashif Khan,Active,Yes,Balochistan,Quetta,4,325
,Samina Shah,Active,Yes,Balochistan,Quetta,4,326
,Zubair Siddiqui,Active,Yes,Balochistan,Quetta,4,327
,Ayesha Chaudhry,Active,Yes,Balochistan,Quetta,4,328
,Iqra Bugti,Active,Yes,Balochistan,Quetta,4,329
,Zubair Ahmed,Active,Yes,Balochistan,Quetta,4,330
,Maryam Jan,Active,Yes,Balochistan,Quetta,4,331
,Zeeshan Gul,Active,Yes,Balochistan,Quetta,4,332
,Rashid Butt,Active,Yes,Balochistan,Quetta,4,333
,Adnan Memon,Active,Yes,Balochistan,Quetta,4,334
,Ali Tareen,Active,Yes,Balochistan,Quetta,4,335
,Muhammad Mahar,Active,Yes,Balochistan,Quetta,4,336
,Faisal Butt,Active,Yes,Balochistan,Quetta,4,337
,Sidra Abbasi,Active,Yes,Balochistan,Quetta,4,338
,Hira Butt,Active,Yes,Balochistan,Quetta,4,339
,Kamran Mahar,Active,Yes,Balochistan,Quetta,4,340
,Naveed Chaudhry,Active,Yes,Balochistan,Quetta,4,341
,Imran Malik,Active,Yes,Balochistan,Quetta,4,342
,Samina Qureshi,Active,Yes,Balochistan,Quetta,4,343
,Sidra Tareen,Active,Yes,Balochistan,Quetta,4,344
,Zeeshan Ahmed,Active,Yes,Balochistan,Quetta,4,345
,Zubair Raza,Active,Yes,Balochistan,Quetta,4,346
,Arsalan Khan,Active,Yes,Balochistan,Quetta,4,347
,Bilal Bugti,Active,Yes,Balochistan,Quetta,4,348
,Kamran Jan,Active,Yes,Balochistan,Quetta,4,349
,Usman Memon,Active,Yes,Balochistan,Quetta,4,350
,Junaid Rind,Active,Yes,Balochistan,Quetta,4,351
,Ahmed Qureshi,Active,Yes,Balochistan,Quetta,4,352
,Fatima Qureshi,Active,Yes,Balochistan,Quetta,4,353
,Junaid Tareen,Active,Yes,Balochistan,Quetta,4,354
,Babar Raza,Active,Yes,Balochistan,Quetta,4,355
,Iqra Khan,Active,Yes,Balochistan,Quetta,4,356
,Arsalan Tareen,Active,Yes,Balochistan,Quetta,4,357
,Muhammad Mirza,Active,Yes,Balochistan,Quetta,4,358
,Ali Baig,Active,Yes,Balochistan,Quetta,4,359
,Tariq Bugti,Active,Yes,Balochistan,Quetta,4,360
,Rabia Gul,Active,Yes,Balochistan,Quetta,4,361
,Tariq Tareen,Active,Yes,Balochistan,Quetta,4,362
,Naveed Baig,Active,Yes,Balochistan,Quetta,4,363
,Asim Ahmed,Active,Yes,Balochistan,Quetta,4,364
,Zeeshan Qureshi,Active,Yes,Balochistan,Quetta,4,365
,Yasir Jan,Active,Yes,Balochistan,Quetta,4,366
,Hira Gul,Active,Yes,Balochistan,Quetta,4,367
,Iqra Butt,Active,Yes,Balochistan,Quetta,4,368
,Sidra Butt,Active,Yes,Balochistan,Quetta,4,369
,Junaid Mengal,Active,Yes,Balochistan,Quetta,4,370
,Asim Butt,Active,Yes,Balochistan,Quetta,4,371
,Sana Baig,Active,Yes,Balochistan,Quetta,4,372
,Ali Qureshi,Active,Yes,Balochistan,Quetta,4,373
,Ahmed Mengal,Active,Yes,Balochistan,Quetta,4,374
,Ayesha Abbasi,Active,Yes,Balochistan,Quetta,4,375
,Yasir Siddiqui,Active,Yes,Balochistan,Quetta,4,376
,Sana Abbasi,Active,Yes,Balochistan,Quetta,4,377
,Zainab Tareen,Active,Yes,Balochistan,Quetta,4,378
,Kamran Shah,Active,Yes,Balochistan,Quetta,4,379
,Imran Laghari,Active,Yes,Balochistan,Quetta,4,380
,Fatima Ansari,Active,Yes,Balochistan,Quetta,4,381
,Usman Jan,Active,Yes,Balochistan,Quetta,4,382
,Tariq Khattak,Active,Yes,Balochistan,Quetta,4,383
,Muhammad Bhatti,Active,Yes,Balochistan,Quetta,4,384
,Muhammad Raza,Active,Yes,Balochistan,Quetta,4,385
,Zubair Butt,Active,Yes,Balochistan,Quetta,4,386
,Arsalan Bugti,Active,Yes,Balochistan,Quetta,4,387
,Ahmed Khattak,Active,Yes,Balochistan,Quetta,4,388
,Sana Mahar,Active,Yes,Balochistan,Quetta,4,389
,Zeeshan Khattak,Active,Yes,Balochistan,Quetta,4,390
,Zeeshan Mengal,Active,Yes,Balochistan,Quetta,4,391
,Shahid Khattak,Active,Yes,Balochistan,Quetta,4,392
,Saad Mahar,Active,Yes,Balochistan,Quetta,4,393
,Ahmed Sheikh,Active,Yes,Balochistan,Quetta,4,394
,Iqra Shah,Active,Yes,Balochistan,Quetta,4,395
,Sana Khattak,Active,Yes,Balochistan,Quetta,4,396
,Usman Rind,Active,Yes,Balochistan,Quetta,4,397
,Yasir Chaudhry,Active,Yes,Balochistan,Quetta,4,398
,Sidra Bugti,Active,Yes,Balochistan,Quetta,4,399
,Sana Shah,Active,Yes,Balochistan,Quetta,4,400
,Kashif Mahar,Active,Yes,Balochistan,Quetta,5,401
,Kashif Gul,Active,Yes,Balochistan,Quetta,5,402
,Imran Chaudhry,Active,Yes,Balochistan,Quetta,5,403
,Imran Butt,Active,Yes,Balochistan,Quetta,5,404
,Waqas Shah,Active,Yes,Balochistan,Quetta,5,405
,Maryam Bugti,Active,Yes,Balochistan,Quetta,5,406
,Babar Bhatti,Active,Yes,Balochistan,Quetta,5,407
,Bilal Rind,Active,Yes,Balochistan,Quetta,5,408
,Farhan Ahmed,Active,Yes,Balochistan,Quetta,5,409
,Samina Khan,Active,Yes,Balochistan,Quetta,5,410
,Saad Butt,Active,Yes,Balochistan,Quetta,5,411
,Zubair Ansari,Active,Yes,Balochistan,Quetta,5,412
,Sana Sheikh,Active,Yes,Balochistan,Quetta,5,413
,Saad Laghari,Active,Yes,Balochistan,Quetta,5,414
,Yasir Mirza,Active,Yes,Balochistan,Quetta,5,415
,Waqas Jan,Active,Yes,Balochistan,Quetta,5,416
,Maryam Raza,Active,Yes,Balochistan,Quetta,5,417
,Naveed Rind,Active,Yes,Balochistan,Quetta,5,418
,Usman Rind,Active,Yes,Balochistan,Quetta,5,419
,Kashif Bhatti,Active,Yes,Balochistan,Quetta,5,420
,Asim Sheikh,Active,Yes,Balochistan,Quetta,5,421
,Zeeshan Bhatti,Active,Yes,Balochistan,Quetta,5,422
,Ahmed Malik,Active,Yes,Balochistan,Quetta,5,423
,Saad Siddiqui,Active,Yes,Balochistan,Quetta,5,424
,Adnan Bhatti,Active,Yes,Balochistan,Quetta,5,425
,Usman Mengal,Active,Yes,Balochistan,Quetta,5,426
,Zeeshan Baig,Active,Yes,Balochistan,Quetta,5,427
,Usman Rind,Active,Yes,Balochistan,Quetta,5,428
,Tariq Raza,Active,Yes,Balochistan,Quetta,5,429
,Rabia Tareen,Active,Yes,Balochistan,Quetta,5,430
,Tariq Baig,Active,Yes,Balochistan,Quetta,5,431
,Saad Siddiqui,Active,Yes,Balochistan,Quetta,5,432
,Rabia Butt,Active,Yes,Balochistan,Quetta,5,433
,Usman Khattak,Active,Yes,Balochistan,Quetta,5,434
,Ayesha Khan,Active,Yes,Balochistan,Quetta,5,435
,Rashid Malik,Active,Yes,Balochistan,Quetta,5,436
,Asim Khattak,Active,Yes,Balochistan,Quetta,5,437
,Zubair Qureshi,Active,Yes,Balochistan,Quetta,5,438
