Cnic,Full Name,Party Name,Province,City,Assembly Type,Assigned Constituency
1111111111138,Owais,PML-N,Balochistan,Quetta,Provincial Assembly,PA-02
1111111111139,Imran,PPP,Balochistan,Quetta,Provincial Assembly,PA-03
1111111111140,Wasif,JUI,Balochistan,Quetta,Provincial Assembly,PA-04
1111111111141,Babar,ANP,Balochistan,Quetta,Provincial Assembly,PA-05
1111111111142,Rizwan,PTI,Punjab,Lahore,Provincial Assembly,PA-06
1111111111143,Zia ul Haq,PML-N,Punjab,Lahore,Provincial Assembly,PA-07
1111111111144,Farooq,PPP,Punjab,Lahore,Provincial Assembly,PA-08
1111111111145,Naseem,JUI,Punjab,Lahore,Provincial Assembly,PA-09
1111111111146,Azeem,ANP,Punjab,Lahore,Provincial Assembly,PA-10
1111111111147,Ghulam,PTI,Sindh,Karachi,Provincial Assembly,PA-11
1111111111148,Niamat,PML-N,Sindh,Karachi,Provincial Assembly,PA-12
1111111111149,Ghulam,PPP,Sindh,Karachi,Provincial Assembly,PA-13
1111111111150,Farooq,JUI,Sindh,Karachi,Provincial Assembly,PA-14
1111111111151,Sail,ANP,Sindh,Karachi,Provincial Assembly,PA-15
1111111111152,Yahya,PTI,Khyber Pakhtunkhwa,Peshawar,Provincial Assembly,PA-16
1111111111153,Gul,PML-N,Khyber Pakhtunkhwa,Peshawar,Provincial Assembly,PA-17
1111111111154,Shah,PPP,Khyber Pakhtunkhwa,Peshawar,Provincial Assembly,PA-18
1111111111155,Sahab,JUI,Khyber Pakhtunkhwa,Peshawar,Provincial Assembly,PA-19
1111111111156,Shahab,ANP,Khyber Pakhtunkhwa,Peshawar,Provincial Assembly,PA-20
1111111111157,Waleed,PTI,Islamabad Capital Territory,Islamabad,Provincial Assembly,PA-21
1111111111158,Azeem,PML-N,Islamabad Capital Territory,Islamabad,Provincial Assembly,PA-22
1111111111159,Ghulam,PPP,Islamabad Capital Territory,Islamabad,Provincial Assembly,PA-23
1111111111160,Rizwan,JUI,Islamabad Capital Territory,Islamabad,Provincial Assembly,PA-24
1111111111161,Zia ul Haq,ANP,Islamabad Capital Territory,Islamabad,Provincial Assembly,PA-25
